from,to,start,end,id
SMBLB1,fixt51,2021-05-01 00:00:00-08:00,,SMBLB1_fixt51_2021-05-01T00:00:00-08:00
SMBLB2,fixt52,2021-05-01 00:00:00-08:00,,SMBLB2_fixt52_2021-05-01T00:00:00-08:00
SMBLB3,fixt53,2021-05-01 00:00:00-08:00,,SMBLB3_fixt53_2021-05-01T00:00:00-08:00
SMBLB4,fixt54,2021-05-01 00:00:00-08:00,,SMBLB4_fixt54_2021-05-01T00:00:00-08:00
SMBLB5,fixt55,2021-05-01 00:00:00-08:00,,SMBLB5_fixt55_2021-05-01T00:00:00-08:00
SMBLB6,fixt56,2021-05-01 00:00:00-08:00,,SMBLB6_fixt56_2021-05-01T00:00:00-08:00
SMBLB7,fixt57,2021-05-01 00:00:00-08:00,,SMBLB7_fixt57_2021-05-01T00:00:00-08:00
SMBLB8,fixt58,2021-05-01 00:00:00-08:00,,SMBLB8_fixt58_2021-05-01T00:00:00-08:00
SMBLB9,fixt59,2021-05-01 00:00:00-08:00,,SMBLB9_fixt59_2021-05-01T00:00:00-08:00
SMBLB10,fixt60,2021-05-01 00:00:00-08:00,,SMBLB10_fixt60_2021-05-01T00:00:00-08:00
SMBLB11,fixt61,2021-05-01 00:00:00-08:00,,SMBLB11_fixt61_2021-05-01T00:00:00-08:00
SMBLB12,fixt62,2021-05-01 00:00:00-08:00,,SMBLB12_fixt62_2021-05-01T00:00:00-08:00
SMBLB13,fixt63,2021-05-01 00:00:00-08:00,,SMBLB13_fixt63_2021-05-01T00:00:00-08:00
SMBLB14,fixt64,2021-05-01 00:00:00-08:00,,SMBLB14_fixt64_2021-05-01T00:00:00-08:00
SMBLB15,fixt65,2021-05-01 00:00:00-08:00,,SMBLB15_fixt65_2021-05-01T00:00:00-08:00
SMBLB16,fixt66,2021-05-01 00:00:00-08:00,,SMBLB16_fixt66_2021-05-01T00:00:00-08:00
SMBLB17,fixt67,2021-05-01 00:00:00-08:00,,SMBLB17_fixt67_2021-05-01T00:00:00-08:00
SMBLB18,fixt68,2021-05-01 00:00:00-08:00,,SMBLB18_fixt68_2021-05-01T00:00:00-08:00
SMBLB19,fixt69,2021-05-01 00:00:00-08:00,,SMBLB19_fixt69_2021-05-01T00:00:00-08:00
SMBLB20,fixt70,2021-05-01 00:00:00-08:00,,SMBLB20_fixt70_2021-05-01T00:00:00-08:00
SMBLB21,fixt71,2021-05-01 00:00:00-08:00,,SMBLB21_fixt71_2021-05-01T00:00:00-08:00
SMBLB22,fixt72,2021-05-01 00:00:00-08:00,,SMBLB22_fixt72_2021-05-01T00:00:00-08:00
SMBLB23,fixt73,2021-05-01 00:00:00-08:00,,SMBLB23_fixt73_2021-05-01T00:00:00-08:00
SMBLB24,fixt74,2021-05-01 00:00:00-08:00,,SMBLB24_fixt74_2021-05-01T00:00:00-08:00
SMBLB25,fixt75,2021-05-01 00:00:00-08:00,,SMBLB25_fixt75_2021-05-01T00:00:00-08:00
SMBLB26,fixt76,2021-05-01 00:00:00-08:00,,SMBLB26_fixt76_2021-05-01T00:00:00-08:00
SMBLB27,fixt77,2021-05-01 00:00:00-08:00,,SMBLB27_fixt77_2021-05-01T00:00:00-08:00
SMBLB28,fixt78,2021-05-01 00:00:00-08:00,,SMBLB28_fixt78_2021-05-01T00:00:00-08:00
SMBLB29,fixt79,2021-05-01 00:00:00-08:00,,SMBLB29_fixt79_2021-05-01T00:00:00-08:00
