turbine id,lat_long,manufacturer,power(kW)
1,-58.294266_9.678721,MHI:,5289.77
2,-1.633182_-5.457015,GOLD:,4743.92
3,4.155561_64.925445,MHI:,1124.82
4,-84.675415_36.455777,NG:,1438.97
5,45.710195_57.190144,GOLD:,4723.45
6,37.089847_-54.227059,SG:,5150.78
7,21.159602_-111.312792,SG:,8954.19
8,-7.429301_159.64356,MHI:,6996.47
9,-55.072392_-99.871253,VWS:,1750.24
10,-81.767815_-91.224972,SGRE:,5680.63
11,48.176517_69.891788,MHI:,1804.16
12,83.71187_55.391798,VWS:,9219.18
13,-60.079646_51.773137,MHI:,7159.1
14,-59.303073_18.511197,SG:,4662.87
15,-68.0588_10.219866,LM:,2265.59
16,-56.360853_-154.526256,MHI:,4922.21
17,-5.030435_13.433538,NG:,8040.3
18,37.844055_13.009402,NG:,5239.33
19,20.98212_32.158917,GOLD:,1345.18
20,-5.838882_173.90443,EN:,5306.72
21,-44.162489_123.035467,EN:,7638.72
22,1.481023_78.042588,LM:,7417.8
23,78.914276_-45.376498,SGRE:,5534.28
24,42.124494_-149.968195,SGRE:,3269.16
25,-9.52676_-121.737494,VWS:,454.64
26,-17.013969_66.457397,GOLD:,6488.39
27,-67.499346_-53.888751,SUZ:,6946.96
28,-35.460802_-96.242624,MHI:,2586.05
29,17.367969_-124.823433,LM:,5958.02
30,-33.695882_160.847346,NG:,8030.63
31,49.32482_16.837181,SG:,8376.79
32,71.26947_-113.250766,LM:,4257.63
33,47.310851_-86.571204,GOLD:,5853.51
34,-37.444125_-154.534341,NG:,6683.63
35,-62.840944_-99.985217,SG:,3005.17
36,-3.201045_-127.277627,LM:,8483.51
37,65.362938_-69.247055,MHI:,7238.12
38,-83.021602_21.666774,EN:,2970.72
39,49.996516_-14.988235,GOLD:,5312.63
40,83.444679_-89.544126,SUZ:,5747.18
41,5.256965_35.557991,LM:,3604.8
42,21.804375_116.795861,SGRE:,6067.43
43,-36.17243_-157.820634,SUZ:,5383.59
44,-77.755166_147.503137,SG:,4880.18
45,-65.260726_149.532509,MHI:,1994.37
46,31.803977_75.612348,MHI:,3708.86
47,-45.890973_30.379364,MHI:,1152.62
48,-63.191703_-32.302434,MHI:,8932.57
49,-20.037599_-58.693153,NG:,9302.18
50,64.799501_147.073954,VWS:,4611.8
51,7.821425_25.941573,EN:,3272.33
52,-17.328958_-97.423841,SUZ:,5854.83
53,-33.630262_-55.49559,SUZ:,8050.97
54,87.145963_-103.747799,SGRE:,342.76
55,-37.298935_-92.213878,SG:,8185.23
56,52.302576_-73.899517,MHI:,609.06
57,70.335825_-90.686189,SGRE:,2916.83
58,53.925026_19.307068,MHI:,5132.74
59,-76.163943_-176.193524,SGRE:,1912.45
60,-33.80026_-28.976113,EN:,5241.88
61,32.173985_166.774706,LM:,8464.26
62,26.50048_-165.182651,SG:,6772.76
63,-83.803747_-83.735862,NG:,4683.47
64,-46.494525_-100.757562,EN:,2286.09
