id,aircraft.id,description,startDate,endDate,status,origin.id,destination.id
OPERATION-1,AIRCRAFT-11,Test,2026-01-31,2026-02-03,In Progress,BASE-4,BASE-4
OPERATION-10,AIRCRAFT-370,Mission,2026-01-31,2026-02-11,Completed,BASE-2,BASE-1
OPERATION-100,AIRCRAFT-461,Training,2026-02-04,2026-02-11,Completed,BASE-8,BASE-4
OPERATION-1000,AIRCRAFT-445,Test,2026-04-05,2026-04-15,Planned,BASE-4,BASE-3
OPERATION-1001,AIRCRAFT-201,Training,2026-04-05,2026-04-11,Completed,BASE-9,BASE-3
OPERATION-1002,AIRCRAFT-21,Test,2026-04-05,2026-04-18,Completed,BASE-3,BASE-6
OPERATION-1003,AIRCRAFT-90,Test,2026-04-05,2026-04-07,Completed,BASE-2,BASE-3
OPERATION-1004,AIRCRAFT-214,Test,2026-04-05,2026-04-15,Planned,BASE-6,BASE-7
OPERATION-1005,AIRCRAFT-35,Training,2026-04-05,2026-04-18,Completed,BASE-5,BASE-3
OPERATION-1006,AIRCRAFT-181,Mission,2026-04-05,2026-04-11,Planned,BASE-1,BASE-10
OPERATION-1007,AIRCRAFT-292,Test,2026-04-05,2026-04-13,Planned,BASE-4,BASE-1
OPERATION-1008,AIRCRAFT-162,Test,2026-04-05,2026-04-16,In Progress,BASE-3,BASE-9
OPERATION-1009,AIRCRAFT-404,Mission,2026-04-05,2026-04-20,In Progress,BASE-8,BASE-8
OPERATION-101,AIRCRAFT-349,Mission,2026-02-04,2026-02-12,Completed,BASE-5,BASE-4
OPERATION-1010,AIRCRAFT-256,Mission,2026-04-06,2026-04-11,Planned,BASE-7,BASE-1
OPERATION-1011,AIRCRAFT-427,Mission,2026-04-06,2026-04-14,Completed,BASE-4,BASE-4
OPERATION-1012,AIRCRAFT-240,Training,2026-04-06,2026-04-08,Completed,BASE-8,BASE-6
OPERATION-1013,AIRCRAFT-305,Training,2026-04-06,2026-04-20,In Progress,BASE-1,BASE-10
OPERATION-1014,AIRCRAFT-358,Training,2026-04-06,2026-04-18,Completed,BASE-10,BASE-10
OPERATION-1015,AIRCRAFT-67,Mission,2026-04-07,2026-04-08,In Progress,BASE-8,BASE-1
OPERATION-1016,AIRCRAFT-66,Test,2026-04-07,2026-04-14,In Progress,BASE-1,BASE-9
OPERATION-1017,AIRCRAFT-63,Test,2026-04-07,2026-04-19,Planned,BASE-4,BASE-5
OPERATION-1018,AIRCRAFT-418,Training,2026-04-07,2026-04-21,In Progress,BASE-8,BASE-3
OPERATION-1019,AIRCRAFT-341,Test,2026-04-07,2026-04-20,Planned,BASE-9,BASE-3
OPERATION-102,AIRCRAFT-289,Training,2026-02-04,2026-02-12,Completed,BASE-2,BASE-3
OPERATION-1020,AIRCRAFT-464,Mission,2026-04-07,2026-04-21,Completed,BASE-9,BASE-2
OPERATION-1021,AIRCRAFT-9,Mission,2026-04-07,2026-04-12,In Progress,BASE-7,BASE-6
OPERATION-1022,AIRCRAFT-117,Mission,2026-04-07,2026-04-21,In Progress,BASE-10,BASE-4
OPERATION-1023,AIRCRAFT-170,Training,2026-04-07,2026-04-21,In Progress,BASE-3,BASE-2
OPERATION-1024,AIRCRAFT-188,Test,2026-04-07,2026-04-09,In Progress,BASE-6,BASE-2
OPERATION-1025,AIRCRAFT-70,Test,2026-04-07,2026-04-19,Planned,BASE-7,BASE-9
OPERATION-1026,AIRCRAFT-132,Mission,2026-04-07,2026-04-19,In Progress,BASE-10,BASE-3
OPERATION-1027,AIRCRAFT-221,Mission,2026-04-07,2026-04-12,Completed,BASE-1,BASE-7
OPERATION-1028,AIRCRAFT-364,Test,2026-04-07,2026-04-16,In Progress,BASE-5,BASE-3
OPERATION-1029,AIRCRAFT-206,Mission,2026-04-07,2026-04-10,Planned,BASE-10,BASE-5
OPERATION-103,AIRCRAFT-232,Training,2026-02-04,2026-02-08,Completed,BASE-3,BASE-4
OPERATION-1030,AIRCRAFT-481,Training,2026-04-07,2026-04-07,In Progress,BASE-9,BASE-1
OPERATION-1031,AIRCRAFT-307,Mission,2026-04-07,2026-04-22,Completed,BASE-8,BASE-8
OPERATION-1032,AIRCRAFT-47,Mission,2026-04-07,2026-04-20,Completed,BASE-10,BASE-1
OPERATION-1033,AIRCRAFT-87,Mission,2026-04-08,2026-04-16,Planned,BASE-3,BASE-3
OPERATION-1034,AIRCRAFT-378,Mission,2026-04-08,2026-04-09,Planned,BASE-1,BASE-10
OPERATION-1035,AIRCRAFT-367,Mission,2026-04-08,2026-04-17,Planned,BASE-2,BASE-7
OPERATION-1036,AIRCRAFT-229,Test,2026-04-08,2026-04-13,In Progress,BASE-10,BASE-10
OPERATION-1037,AIRCRAFT-455,Test,2026-04-08,2026-04-13,Completed,BASE-6,BASE-1
OPERATION-1038,AIRCRAFT-343,Training,2026-04-08,2026-04-10,In Progress,BASE-7,BASE-2
OPERATION-1039,AIRCRAFT-89,Mission,2026-04-08,2026-04-21,In Progress,BASE-8,BASE-3
OPERATION-104,AIRCRAFT-336,Training,2026-02-04,2026-02-06,In Progress,BASE-9,BASE-8
OPERATION-1040,AIRCRAFT-322,Training,2026-04-08,2026-04-11,Completed,BASE-7,BASE-9
OPERATION-1041,AIRCRAFT-141,Mission,2026-04-09,2026-04-15,Completed,BASE-9,BASE-2
OPERATION-1042,AIRCRAFT-331,Training,2026-04-09,2026-04-24,Completed,BASE-6,BASE-5
OPERATION-1043,AIRCRAFT-196,Test,2026-04-09,2026-04-20,Completed,BASE-8,BASE-9
OPERATION-1044,AIRCRAFT-478,Mission,2026-04-09,2026-04-24,Completed,BASE-4,BASE-5
OPERATION-1045,AIRCRAFT-10,Mission,2026-04-09,2026-04-15,Planned,BASE-8,BASE-2
OPERATION-1046,AIRCRAFT-421,Training,2026-04-09,2026-04-15,Planned,BASE-6,BASE-6
OPERATION-1047,AIRCRAFT-105,Test,2026-04-09,2026-04-15,Planned,BASE-5,BASE-5
OPERATION-1048,AIRCRAFT-354,Training,2026-04-10,2026-04-12,Completed,BASE-9,BASE-6
OPERATION-1049,AIRCRAFT-189,Test,2026-04-10,2026-04-10,In Progress,BASE-6,BASE-7
OPERATION-105,AIRCRAFT-132,Mission,2026-02-04,2026-02-17,In Progress,BASE-7,BASE-10
OPERATION-1050,AIRCRAFT-245,Mission,2026-04-10,2026-04-10,In Progress,BASE-6,BASE-8
OPERATION-1051,AIRCRAFT-129,Test,2026-04-10,2026-04-25,Planned,BASE-8,BASE-3
OPERATION-1052,AIRCRAFT-77,Training,2026-04-10,2026-04-24,In Progress,BASE-7,BASE-1
OPERATION-1053,AIRCRAFT-99,Test,2026-04-10,2026-04-19,Completed,BASE-6,BASE-9
OPERATION-1054,AIRCRAFT-274,Test,2026-04-10,2026-04-10,Completed,BASE-6,BASE-6
OPERATION-1055,AIRCRAFT-224,Training,2026-04-10,2026-04-12,Planned,BASE-6,BASE-7
OPERATION-1056,AIRCRAFT-413,Mission,2026-04-10,2026-04-15,Completed,BASE-2,BASE-5
OPERATION-1057,AIRCRAFT-126,Training,2026-04-10,2026-04-20,In Progress,BASE-2,BASE-8
OPERATION-1058,AIRCRAFT-405,Training,2026-04-10,2026-04-17,In Progress,BASE-4,BASE-9
OPERATION-1059,AIRCRAFT-251,Mission,2026-04-10,2026-04-19,In Progress,BASE-1,BASE-4
OPERATION-106,AIRCRAFT-92,Test,2026-02-04,2026-02-04,In Progress,BASE-8,BASE-1
OPERATION-1060,AIRCRAFT-458,Test,2026-04-10,2026-04-12,Planned,BASE-8,BASE-9
OPERATION-1061,AIRCRAFT-267,Training,2026-04-10,2026-04-14,In Progress,BASE-9,BASE-5
OPERATION-1062,AIRCRAFT-220,Mission,2026-04-10,2026-04-20,Completed,BASE-3,BASE-4
OPERATION-1063,AIRCRAFT-476,Training,2026-04-10,2026-04-11,Completed,BASE-9,BASE-2
OPERATION-1064,AIRCRAFT-369,Mission,2026-04-10,2026-04-10,Completed,BASE-10,BASE-2
OPERATION-1065,AIRCRAFT-491,Mission,2026-04-10,2026-04-20,Planned,BASE-9,BASE-5
OPERATION-1066,AIRCRAFT-37,Test,2026-04-10,2026-04-10,Planned,BASE-6,BASE-4
OPERATION-1067,AIRCRAFT-352,Training,2026-04-10,2026-04-16,Completed,BASE-6,BASE-8
OPERATION-1068,AIRCRAFT-338,Mission,2026-04-10,2026-04-13,Planned,BASE-5,BASE-2
OPERATION-1069,AIRCRAFT-81,Mission,2026-04-10,2026-04-10,Planned,BASE-9,BASE-6
OPERATION-107,AIRCRAFT-270,Training,2026-02-04,2026-02-15,In Progress,BASE-9,BASE-9
OPERATION-1070,AIRCRAFT-336,Mission,2026-04-10,2026-04-20,Completed,BASE-5,BASE-10
OPERATION-1071,AIRCRAFT-25,Mission,2026-04-10,2026-04-17,In Progress,BASE-10,BASE-6
OPERATION-1072,AIRCRAFT-142,Mission,2026-04-10,2026-04-24,Planned,BASE-8,BASE-1
OPERATION-1073,AIRCRAFT-432,Mission,2026-04-10,2026-04-13,Planned,BASE-7,BASE-7
OPERATION-1074,AIRCRAFT-392,Training,2026-04-11,2026-04-25,In Progress,BASE-4,BASE-9
OPERATION-1075,AIRCRAFT-466,Test,2026-04-11,2026-04-13,Planned,BASE-2,BASE-8
OPERATION-1076,AIRCRAFT-46,Training,2026-04-11,2026-04-14,Completed,BASE-8,BASE-8
OPERATION-1077,AIRCRAFT-288,Mission,2026-04-11,2026-04-18,Completed,BASE-5,BASE-6
OPERATION-1078,AIRCRAFT-255,Test,2026-04-11,2026-04-23,Completed,BASE-6,BASE-6
OPERATION-1079,AIRCRAFT-494,Mission,2026-04-11,2026-04-25,Planned,BASE-8,BASE-2
OPERATION-108,AIRCRAFT-387,Mission,2026-02-04,2026-02-11,In Progress,BASE-7,BASE-8
OPERATION-1080,AIRCRAFT-438,Mission,2026-04-12,2026-04-27,In Progress,BASE-6,BASE-10
OPERATION-1081,AIRCRAFT-472,Mission,2026-04-12,2026-04-16,In Progress,BASE-2,BASE-6
OPERATION-1082,AIRCRAFT-329,Test,2026-04-12,2026-04-14,In Progress,BASE-7,BASE-10
OPERATION-1083,AIRCRAFT-282,Test,2026-04-12,2026-04-25,Planned,BASE-9,BASE-3
OPERATION-1084,AIRCRAFT-391,Mission,2026-04-12,2026-04-27,In Progress,BASE-4,BASE-10
OPERATION-1085,AIRCRAFT-423,Test,2026-04-12,2026-04-25,In Progress,BASE-9,BASE-4
OPERATION-1086,AIRCRAFT-163,Test,2026-04-12,2026-04-17,Completed,BASE-10,BASE-8
OPERATION-1087,AIRCRAFT-446,Training,2026-04-12,2026-04-15,Completed,BASE-2,BASE-8
OPERATION-1088,AIRCRAFT-339,Training,2026-04-12,2026-04-17,Planned,BASE-10,BASE-2
OPERATION-1089,AIRCRAFT-357,Training,2026-04-12,2026-04-24,Completed,BASE-1,BASE-2
OPERATION-109,AIRCRAFT-323,Training,2026-02-04,2026-02-04,Completed,BASE-7,BASE-3
OPERATION-1090,AIRCRAFT-204,Test,2026-04-12,2026-04-18,Completed,BASE-1,BASE-3
OPERATION-1091,AIRCRAFT-441,Test,2026-04-12,2026-04-16,In Progress,BASE-7,BASE-10
OPERATION-1092,AIRCRAFT-244,Mission,2026-04-13,2026-04-27,Completed,BASE-6,BASE-5
OPERATION-1093,AIRCRAFT-415,Test,2026-04-13,2026-04-22,In Progress,BASE-2,BASE-10
OPERATION-1094,AIRCRAFT-98,Test,2026-04-13,2026-04-13,In Progress,BASE-3,BASE-5
OPERATION-1095,AIRCRAFT-377,Test,2026-04-13,2026-04-14,Planned,BASE-1,BASE-9
OPERATION-1096,AIRCRAFT-182,Training,2026-04-13,2026-04-24,Planned,BASE-4,BASE-7
OPERATION-1097,AIRCRAFT-337,Test,2026-04-13,2026-04-25,In Progress,BASE-7,BASE-7
OPERATION-1098,AIRCRAFT-53,Mission,2026-04-13,2026-04-26,Completed,BASE-3,BASE-8
OPERATION-1099,AIRCRAFT-239,Test,2026-04-13,2026-04-17,In Progress,BASE-6,BASE-7
OPERATION-11,AIRCRAFT-462,Training,2026-01-31,2026-02-07,Planned,BASE-4,BASE-2
OPERATION-110,AIRCRAFT-176,Test,2026-02-04,2026-02-18,Completed,BASE-1,BASE-7
OPERATION-1100,AIRCRAFT-315,Test,2026-04-13,2026-04-17,Planned,BASE-3,BASE-1
OPERATION-1101,AIRCRAFT-109,Mission,2026-04-13,2026-04-15,Completed,BASE-8,BASE-7
OPERATION-1102,AIRCRAFT-166,Mission,2026-04-13,2026-04-17,Completed,BASE-7,BASE-8
OPERATION-1103,AIRCRAFT-236,Training,2026-04-13,2026-04-26,Completed,BASE-7,BASE-9
OPERATION-1104,AIRCRAFT-395,Training,2026-04-13,2026-04-27,Planned,BASE-3,BASE-7
OPERATION-1105,AIRCRAFT-85,Training,2026-04-13,2026-04-13,Completed,BASE-4,BASE-9
OPERATION-1106,AIRCRAFT-410,Test,2026-04-13,2026-04-21,Completed,BASE-6,BASE-1
OPERATION-1107,AIRCRAFT-80,Training,2026-04-13,2026-04-14,Completed,BASE-6,BASE-2
OPERATION-1108,AIRCRAFT-16,Mission,2026-04-13,2026-04-28,Completed,BASE-9,BASE-5
OPERATION-1109,AIRCRAFT-496,Mission,2026-04-13,2026-04-27,Completed,BASE-10,BASE-2
OPERATION-111,AIRCRAFT-148,Test,2026-02-04,2026-02-04,In Progress,BASE-3,BASE-8
OPERATION-1110,AIRCRAFT-456,Test,2026-04-13,2026-04-20,Completed,BASE-2,BASE-9
OPERATION-1111,AIRCRAFT-14,Training,2026-04-14,2026-04-23,Completed,BASE-1,BASE-8
OPERATION-1112,AIRCRAFT-48,Training,2026-04-14,2026-04-28,Completed,BASE-6,BASE-7
OPERATION-1113,AIRCRAFT-317,Training,2026-04-14,2026-04-25,Planned,BASE-1,BASE-10
OPERATION-1114,AIRCRAFT-7,Training,2026-04-14,2026-04-23,Planned,BASE-8,BASE-10
OPERATION-1115,AIRCRAFT-8,Mission,2026-04-14,2026-04-19,Completed,BASE-5,BASE-10
OPERATION-1116,AIRCRAFT-312,Training,2026-04-14,2026-04-14,Planned,BASE-3,BASE-9
OPERATION-1117,AIRCRAFT-306,Training,2026-04-14,2026-04-16,Planned,BASE-10,BASE-5
OPERATION-1118,AIRCRAFT-295,Mission,2026-04-14,2026-04-22,Completed,BASE-2,BASE-10
