id,operation.id,message
b0e7c6f1-12a2-4838-ac34-c0f6b17ee8d1,OPERATION-462,Navigation System Fault
b0ec1d15-50c2-4910-85e1-421732226ced,OPERATION-2813,Landing Gear Issue
b0ed87ef-05bb-41a0-9da5-80c26a52cf32,OPERATION-5284,Communication Error
b0f2e16c-7d92-44ea-a75a-24d76e572001,OPERATION-3479,Air Traffic Control Delay
b0f50fc3-1432-4df6-a0f1-d24d8ad79a1f,OPERATION-5091,Hydraulic System Warning
b0f5fdae-ade7-4c96-a7d2-94f911d603b4,OPERATION-2408,Engine Check
b0f87ce3-dbad-4aef-82d6-44ef42d87328,OPERATION-3737,Hydraulic System Warning
b0f8a720-64bf-48b8-b0b8-53b8a4ea9190,OPERATION-3362,Navigation System Fault
b105d0eb-37ff-47dd-8363-60e6bc3f93fb,OPERATION-5482,Security Alert
b10689ac-d49f-4813-b739-9ea857f71c8d,OPERATION-1264,Weather Alert
b107757b-57ae-40f0-a999-5c6d0cf7f2a6,OPERATION-1176,Security Alert
b107e2bc-18ad-4b86-a414-c773b245d757,OPERATION-2801,Communication Error
b1084a63-ab7c-4c51-85a4-945e86a31aa2,OPERATION-2459,Landing Gear Issue
b10a5c91-22b9-48fb-9058-4095e64cfe65,OPERATION-1697,Landing Gear Issue
b10c9b48-2bfd-4990-8092-5f8975fb689f,OPERATION-2749,Weather Alert
b10da17e-660c-4e64-88c3-5d05a4a353d6,OPERATION-4940,Communication Error
b116b3be-965d-4449-8afc-29bfb63fae61,OPERATION-3556,Communication Error
b119e074-8f6d-4a2e-876b-8f5b6fa134d8,OPERATION-42,Communication Error
b11d7d4e-7079-4d72-8ba7-0382b641c777,OPERATION-4940,Maintenance Required
b1204e1d-d86d-4d5f-96cf-cef1cabdae19,OPERATION-2650,Air Traffic Control Delay
b125e505-f5dc-4ebf-aafc-539c99bf30d3,OPERATION-1396,Maintenance Required
b12f283d-6958-47a7-a9a7-439caf62fcaa,OPERATION-3846,Weather Alert
b133ac8b-4d52-41a2-9bbe-503afe20e7b3,OPERATION-5182,Fuel Low
b133b3dc-1066-4d7f-96f9-e3fe20935f28,OPERATION-4200,Fuel Low
b13425ad-3621-4113-b11b-a737fb4e8396,OPERATION-4969,Navigation System Fault
b135418a-70c2-41b8-94cf-5b8820cdfa44,OPERATION-644,Weather Alert
b136112c-39ea-403f-b0b6-458f7c9907a0,OPERATION-2201,Fuel Low
b13a6f6a-cfe8-47d0-ad5e-4c1b3a96ab30,OPERATION-1123,Weather Alert
b13c1080-b825-4bae-ac17-bce838cdc0ca,OPERATION-2656,Engine Check
b13d704c-fce9-4fd3-8a93-6817076808db,OPERATION-4378,Air Traffic Control Delay
b13dd362-dd80-4bdf-8f6f-869e65536fba,OPERATION-3499,Security Alert
b13e0d5e-21dd-466c-8785-ba152f783d28,OPERATION-2501,Engine Check
b14161f5-68e0-4186-80ee-6e88732f88f7,OPERATION-3718,Engine Check
b1419317-5b39-446e-81f5-e4f4f8397b9e,OPERATION-227,Navigation System Fault
b14b1dc3-690c-4553-85f5-fea80af15ac5,OPERATION-763,Fuel Low
b14c5404-a2e6-4c6b-a914-50290b952892,OPERATION-2539,Air Traffic Control Delay
b14fced8-55cd-4cb8-b64e-5020afdf68ed,OPERATION-1800,Security Alert
b1525ce7-cdeb-40b7-b361-5d8afb088f05,OPERATION-3674,Engine Check
b157655a-9d85-44cc-a034-11f4e88e596f,OPERATION-4226,Landing Gear Issue
b158bccc-1fc8-4e02-96d4-3e93b7c2dacc,OPERATION-3256,Hydraulic System Warning
b15a1ff9-0ad9-4c6a-b9c7-fcde4b587aec,OPERATION-3894,Engine Check
b15bc7d0-f563-47e0-858a-01572a83b4e9,OPERATION-3555,Navigation System Fault
b15d1ebe-0c96-4444-86b7-e859d8187684,OPERATION-2791,Engine Check
b160ba6e-e933-43b9-abd5-bb4ac8c12957,OPERATION-4347,Air Traffic Control Delay
b168d04e-5b7d-4754-be30-1cb4a79927ce,OPERATION-3587,Landing Gear Issue
b168de74-bead-4400-ad51-062755ce464d,OPERATION-1074,Weather Alert
b16a4687-fb34-41c6-a43c-d1600ebd1162,OPERATION-360,Fuel Low
b174ae96-531c-4256-ab9a-16ad0c344e74,OPERATION-3092,Security Alert
b1763fab-3be0-44f8-8846-94d229fedf07,OPERATION-5010,Navigation System Fault
b177569b-fc9f-4f23-b45c-ddc37c7a0d72,OPERATION-892,Hydraulic System Warning
b17ad17c-585e-427c-9267-8f2b04dca3cd,OPERATION-3166,Security Alert
b17c0723-c1a6-447c-b52f-3bf461975ad4,OPERATION-942,Fuel Low
b180d5af-8e25-4e13-bcf3-d68cec4857eb,OPERATION-4820,Navigation System Fault
b1855461-5fb2-42e5-942c-54767505d4dc,OPERATION-4241,Maintenance Required
b1875d3c-c57a-47f3-b3ca-9b5f6197c2c9,OPERATION-1681,Maintenance Required
b18d5bc0-357e-4670-92d4-f2b4c9184ce8,OPERATION-4744,Air Traffic Control Delay
b191db39-a28e-4b8b-bbd7-4b334686172b,OPERATION-3497,Maintenance Required
b1953943-8a91-4a96-a11f-79323911f613,OPERATION-5748,Communication Error
b196970b-1208-4381-8e58-fb27f44040ce,OPERATION-616,Air Traffic Control Delay
b1993da0-2858-4b58-b72b-527b2639c20c,OPERATION-1898,Air Traffic Control Delay
b199eeac-e194-4b05-bf84-6d2cb8a26274,OPERATION-2120,Security Alert
b1a5bfd8-9d38-417d-bda4-c5e0e5f3c730,OPERATION-105,Navigation System Fault
b1b35bc0-e90d-494b-a3cb-8d1123f12ad7,OPERATION-3795,Navigation System Fault
b1bc0f9f-94e3-4c27-ad52-c302c5879dc0,OPERATION-693,Weather Alert
b1bc48f0-fc16-4d58-9f89-eeb954e1bb4b,OPERATION-2559,Landing Gear Issue
b1c33304-4a64-4ce5-a64d-c57842f37604,OPERATION-3844,Navigation System Fault
b1c772db-2070-4db5-8eec-a025c896b952,OPERATION-1945,Fuel Low
b1cc5c5a-3b69-44a9-baad-ca263efedea1,OPERATION-5728,Fuel Low
b1d3c433-a043-40ed-8ef2-d7ea44d6aab4,OPERATION-684,Weather Alert
b1d8b222-0c9d-42a8-b183-65fb6360d563,OPERATION-2922,Air Traffic Control Delay
b1d8bdba-ae7e-4bd3-8773-b99ba20c4717,OPERATION-616,Security Alert
b1d8dbb4-653c-49d6-aaff-52a89221d4d7,OPERATION-5741,Engine Check
b1db57f8-fbdf-411f-935f-bf915420b572,OPERATION-3296,Landing Gear Issue
b1dc13e0-ab7a-4b8c-8054-ee7b04e1e4fc,OPERATION-4531,Security Alert
b1e01721-301f-4dd4-823e-4a471197d09e,OPERATION-639,Air Traffic Control Delay
b1e88c4f-5b42-424f-90e2-ede192adbcd0,OPERATION-5410,Security Alert
b1ebe394-fdcc-4a43-b788-8878e7564856,OPERATION-3712,Landing Gear Issue
b1ebf9c2-7d70-4558-b5f7-1bf12044d965,OPERATION-1528,Landing Gear Issue
b1f384c7-c248-4655-8659-43ab40b4216d,OPERATION-4068,Maintenance Required
b1f6e199-1e1d-458b-8914-480e828bc19f,OPERATION-1697,Weather Alert
b1f79332-b8de-4188-ac5c-b32f662c5a7d,OPERATION-4935,Maintenance Required
b1fac85c-f5f4-4925-b39d-8f602da3a473,OPERATION-2761,Security Alert
b1fb6165-0083-4eb0-adde-01ff0bc5feaa,OPERATION-2228,Air Traffic Control Delay
b1fd88dd-5548-460f-bffc-7f6c9b31693e,OPERATION-2011,Air Traffic Control Delay
b1fffc16-945c-469d-b6f2-1a4c3ad8f860,OPERATION-4260,Weather Alert
b202e1f5-e70b-4328-a0a9-0701ed7a51a0,OPERATION-605,Fuel Low
b20d8adb-576b-46fc-a61f-ab24da147573,OPERATION-2539,Security Alert
b210880a-eb22-4d41-85f4-95882f4d5282,OPERATION-2518,Landing Gear Issue
b216f66a-f88d-4c68-bdd2-7865c144af7f,OPERATION-703,Communication Error
b21efcfc-a817-4884-9898-bdba637e0706,OPERATION-1903,Communication Error
b21efdfc-e459-428f-80e7-e9d56f09f415,OPERATION-5052,Landing Gear Issue
b225852b-4cfe-483f-8796-381b7f9a3b1f,OPERATION-2537,Navigation System Fault
b225cb90-bc71-4a7d-b9d1-758d9ad95a69,OPERATION-2779,Landing Gear Issue
b230d352-f20a-4b0b-a221-044ea2b2f8db,OPERATION-3166,Maintenance Required
b2355463-1f93-442a-b3b9-1e16734c75d6,OPERATION-946,Navigation System Fault
b239caca-ddb1-4fd1-9818-e9005e1c912a,OPERATION-4276,Security Alert
b23bbd40-fb12-4ae7-9562-a4106ff1aef0,OPERATION-3178,Navigation System Fault
b23f5535-f122-4210-8bf8-8eec39a6ffe9,OPERATION-1937,Communication Error
b2523787-2c22-4ffd-8e97-39fe53955198,OPERATION-2776,Weather Alert
b25c2307-35a5-4983-b9cb-c0f32a0d4de2,OPERATION-749,Weather Alert
b25e724f-2af6-4fb6-a646-3b975c15ab93,OPERATION-457,Air Traffic Control Delay
