id,name,unit,sensor
AIRCRAFT-SENSOR-AIRCRAFT-324-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-324
AIRCRAFT-SENSOR-AIRCRAFT-324-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-324
AIRCRAFT-SENSOR-AIRCRAFT-324-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-324
AIRCRAFT-SENSOR-AIRCRAFT-324-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-324
AIRCRAFT-SENSOR-AIRCRAFT-325-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-325
AIRCRAFT-SENSOR-AIRCRAFT-325-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-325
AIRCRAFT-SENSOR-AIRCRAFT-325-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-325
AIRCRAFT-SENSOR-AIRCRAFT-325-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-325
AIRCRAFT-SENSOR-AIRCRAFT-326-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-326
AIRCRAFT-SENSOR-AIRCRAFT-326-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-326
AIRCRAFT-SENSOR-AIRCRAFT-326-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-326
AIRCRAFT-SENSOR-AIRCRAFT-326-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-326
AIRCRAFT-SENSOR-AIRCRAFT-327-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-327
AIRCRAFT-SENSOR-AIRCRAFT-327-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-327
AIRCRAFT-SENSOR-AIRCRAFT-327-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-327
AIRCRAFT-SENSOR-AIRCRAFT-327-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-327
AIRCRAFT-SENSOR-AIRCRAFT-328-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-328
AIRCRAFT-SENSOR-AIRCRAFT-328-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-328
AIRCRAFT-SENSOR-AIRCRAFT-328-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-328
AIRCRAFT-SENSOR-AIRCRAFT-328-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-328
AIRCRAFT-SENSOR-AIRCRAFT-329-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-329
AIRCRAFT-SENSOR-AIRCRAFT-329-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-329
AIRCRAFT-SENSOR-AIRCRAFT-329-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-329
AIRCRAFT-SENSOR-AIRCRAFT-329-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-329
AIRCRAFT-SENSOR-AIRCRAFT-33-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-33
AIRCRAFT-SENSOR-AIRCRAFT-33-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-33
AIRCRAFT-SENSOR-AIRCRAFT-33-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-33
