id,aircraft.id,description,priority,status,createdDate,dueDate
WORK-ORDER-1540,AIRCRAFT-130,Perform weather-related damage inspection,MEDIUM,CLOSED,2026-05-06,2026-05-09
WORK-ORDER-1541,AIRCRAFT-130,Conduct security inspection and clearance,HIGH,CLOSED,2026-05-06,2026-05-11
WORK-ORDER-1542,AIRCRAFT-130,Repair navigation system components,HIGH,CLOSED,2026-05-06,2026-05-07
WORK-ORDER-1543,AIRCRAFT-5,Fix communication equipment and systems,MEDIUM,CLOSED,2026-05-06,2026-05-09
WORK-ORDER-1544,AIRCRAFT-416,Refuel aircraft to operational capacity,HIGH,CLOSED,2026-05-06,2026-05-11
WORK-ORDER-1545,AIRCRAFT-416,Fix communication equipment and systems,MEDIUM,CLOSED,2026-05-06,2026-05-07
WORK-ORDER-1546,AIRCRAFT-416,Conduct security inspection and clearance,HIGH,CLOSED,2026-05-06,2026-05-09
WORK-ORDER-1547,AIRCRAFT-416,Complete delayed maintenance procedures,LOW,CLOSED,2026-05-06,2026-05-10
WORK-ORDER-1548,AIRCRAFT-416,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-05-06,2026-05-10
WORK-ORDER-1549,AIRCRAFT-181,Complete delayed maintenance procedures,LOW,CLOSED,2026-02-07,2026-02-08
WORK-ORDER-155,AIRCRAFT-476,Refuel aircraft to operational capacity,HIGH,CLOSED,2026-04-10,2026-04-15
WORK-ORDER-1550,AIRCRAFT-347,Perform scheduled maintenance tasks,MEDIUM,CLOSED,2026-05-06,2026-05-07
WORK-ORDER-1551,AIRCRAFT-347,Perform engine inspection and maintenance,HIGH,CLOSED,2026-05-06,2026-05-09
WORK-ORDER-1552,AIRCRAFT-347,Conduct security inspection and clearance,HIGH,CLOSED,2026-05-06,2026-05-09
WORK-ORDER-1553,AIRCRAFT-248,Refuel aircraft to operational capacity,HIGH,CLOSED,2026-05-06,2026-05-07
WORK-ORDER-1554,AIRCRAFT-248,Conduct security inspection and clearance,HIGH,CLOSED,2026-05-06,2026-05-07
WORK-ORDER-1555,AIRCRAFT-248,Perform scheduled maintenance tasks,MEDIUM,CLOSED,2026-05-06,2026-05-11
WORK-ORDER-1556,AIRCRAFT-88,Repair navigation system components,HIGH,CLOSED,2026-05-07,2026-05-12
WORK-ORDER-1557,AIRCRAFT-88,Perform scheduled maintenance tasks,MEDIUM,CLOSED,2026-05-07,2026-05-12
WORK-ORDER-1558,AIRCRAFT-283,Refuel aircraft to operational capacity,HIGH,CLOSED,2026-05-07,2026-05-11
WORK-ORDER-1559,AIRCRAFT-283,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-05-07,2026-05-11
WORK-ORDER-156,AIRCRAFT-476,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-04-10,2026-04-13
WORK-ORDER-1560,AIRCRAFT-283,Fix communication equipment and systems,MEDIUM,CLOSED,2026-05-07,2026-05-12
WORK-ORDER-1561,AIRCRAFT-283,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-05-07,2026-05-12
WORK-ORDER-1562,AIRCRAFT-283,Perform weather-related damage inspection,MEDIUM,CLOSED,2026-05-07,2026-05-08
WORK-ORDER-1563,AIRCRAFT-153,Repair navigation system components,HIGH,CLOSED,2026-05-07,2026-05-11
WORK-ORDER-1564,AIRCRAFT-153,Complete delayed maintenance procedures,LOW,CLOSED,2026-05-07,2026-05-12
WORK-ORDER-1565,AIRCRAFT-335,Conduct security inspection and clearance,HIGH,CLOSED,2026-05-07,2026-05-09
WORK-ORDER-1566,AIRCRAFT-456,Perform engine inspection and maintenance,HIGH,CLOSED,2026-05-07,2026-05-10
WORK-ORDER-1567,AIRCRAFT-15,Refuel aircraft to operational capacity,HIGH,CLOSED,2026-02-07,2026-02-12
WORK-ORDER-1568,AIRCRAFT-15,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-02-07,2026-02-11
WORK-ORDER-1569,AIRCRAFT-15,Complete delayed maintenance procedures,LOW,CLOSED,2026-02-07,2026-02-12
WORK-ORDER-157,AIRCRAFT-369,Fix communication equipment and systems,MEDIUM,CLOSED,2026-04-10,2026-04-14
WORK-ORDER-1570,AIRCRAFT-15,Perform weather-related damage inspection,MEDIUM,CLOSED,2026-02-07,2026-02-09
WORK-ORDER-1571,AIRCRAFT-466,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-05-07,2026-05-08
WORK-ORDER-1572,AIRCRAFT-466,Fix communication equipment and systems,MEDIUM,CLOSED,2026-05-07,2026-05-11
WORK-ORDER-1573,AIRCRAFT-466,Perform scheduled maintenance tasks,MEDIUM,CLOSED,2026-05-07,2026-05-08
WORK-ORDER-1574,AIRCRAFT-466,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-05-07,2026-05-10
WORK-ORDER-1575,AIRCRAFT-466,Complete delayed maintenance procedures,LOW,CLOSED,2026-05-07,2026-05-08
WORK-ORDER-1576,AIRCRAFT-388,Conduct security inspection and clearance,HIGH,CLOSED,2026-05-07,2026-05-12
WORK-ORDER-1577,AIRCRAFT-388,Complete delayed maintenance procedures,LOW,CLOSED,2026-05-07,2026-05-09
WORK-ORDER-1578,AIRCRAFT-367,Conduct security inspection and clearance,HIGH,CLOSED,2026-05-07,2026-05-08
WORK-ORDER-1579,AIRCRAFT-393,Perform scheduled maintenance tasks,MEDIUM,CLOSED,2026-05-07,2026-05-09
WORK-ORDER-158,AIRCRAFT-369,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-04-10,2026-04-11
WORK-ORDER-1580,AIRCRAFT-305,Repair navigation system components,HIGH,CLOSED,2026-05-07,2026-05-11
WORK-ORDER-1581,AIRCRAFT-305,Complete delayed maintenance procedures,LOW,CLOSED,2026-05-07,2026-05-11
